George Orwell,1984,1949,Ficção
Charles Duhigg,A Força do Hábito,2012,Psicologia
H.G. Wells,A Máquina do Tempo,1895,Ficção
Aldous Huxley,Admirável Mundo Novo,1932,Ficção
Agatha Christie,Assassinato no Expresso Oriente,1934,Suspense
Robert C. Martin,Clean Code: A Handbook of Agile Software Craftsmanship,2008,Desenvolvimento de Software
Dale Carnegie,Como Fazer Amigos e Influenciar Pessoas,1936,Autoajuda
Andrew S. Tanenbaum,Computer Networks,1981,Redes
Stephenie Meyer,Crepusculo,2005,Romance
Nicholas Sparks,Diário de Uma Paixão,1996,Romance
Frank Herbert,Duna,1965,Ficção
Ray Bradbury,Fahrenheit 451,1953,Ficção
Simon Singh,Fermat's Enigma,1997,Matemática
Isaac Asimov,Fundação,1951,Ficção
Kevin Mitnick,Ghost in the Wires,2011,Cibersegurança
James Clear,Hábitos Atómicos,2018,Psicologia
Paul Graham,Hackers & Painters,2004,Tecnologia
Yuval Noah Harari,Homo Deus,2015,História
Dan Brown,Inferno,2013,Ficção
Douglas Crockford,JavaScript: The Good Parts,2008,Desenvolvimento de Software
Bruce Schneier,Liars & Outliers,2012,Cibersegurança
Dan Brown,O Código Da Vinci,2003,Suspense
Margaret Atwood,O Conto da Aia,1985,Ficção
J.R.R. Tolkien,O Hobbit,1937,Fantasia
Stephen King,O Iluminado,1977,Suspense
J.R.R. Tolkien,O Senhor dos Anéis,1954,Fantasia
Jane Austen,Orgulho e Preconceito,1813,Romance
Stephen R. Covey,Os 7 Hábitos das Pessoas Altamente Eficazes,1989,Autoajuda
Ernest Cline,Ready Player One,2011,Ficção
George Orwell,Revolução dos Bichos,1945,Ficção
Yuval Noah Harari,Sapiens,2011,História
Bruce Schneier,Secrets and Lies: Digital Security in a Networked World,2000,Cibersegurança
Kevin Mitnick,The Art of Deception,2002,Cibersegurança
Simon Singh,The Code Book,1999,Criptografia
Cal Newport,Trabalho Focado,2016,Produtividade
Arthur C. Clarke,Uma Odisseia no Espaço,1968,Ficção
Os Maias,Os Maias,A��o,1990
